Date,Forecast,Lower CI,Upper CI
2023-09-04 17:10:08.079328,810.4725814687422,804.5688836130954,816.376279324389
2023-09-05 17:10:08.079328,812.9047626664925,807.0010776603386,818.8084476726464
2023-09-06 17:10:08.079328,815.5168494916808,809.5925523587213,821.4411466246403
2023-09-07 17:10:08.079328,818.1134221267058,812.1719689679957,824.054875285416
2023-09-08 17:10:08.079328,820.711332630367,814.7523668800926,826.6702983806414
2023-09-09 17:10:08.079328,823.3091277627153,817.3326095461756,829.285645979255
2023-09-10 17:10:08.079328,825.906932844127,819.912795484084,831.9010702041701
2023-09-11 17:10:08.079328,828.5047370675796,822.4929168132869,834.5165573218724
2023-09-12 17:10:08.079328,831.1025413650185,825.072974822759,837.132107907278
2023-09-13 17:10:08.079328,833.7003456560772,827.6529700058989,839.7477213062555
2023-09-14 17:10:08.079328,836.298149947686,830.2329029197377,842.3633969756344
2023-09-15 17:10:08.079328,838.8959542392475,832.8127741108677,844.9791343676274
